100 14400
20 8 19
2 17 45
20 19 9
19 43 46
14 19 14
5 34 43
6 45 13
22 53 51
23 32 20
19 39 40
13 26 18
23 35 23
12 14 48
21 24 24
7 44 49
10 45 51
10 8 8
2 56 54
17 27 28
3 5 41
18 58 37
2 40 54
17 31 11
14 51 30
21 41 55
6 53 41
9 56 34
3 5 12
4 25 33
5 58 56
10 36 35
22 15 9
10 12 13
7 35 1
18 40 35
13 4 43
6 38 35
6 8 18
0 40 36
0 58 8
9 37 26
23 47 22
4 52 59
0 53 54
1 33 0
4 50 55
13 0 55
11 51 20
21 9 7
17 35 34
14 31 41
19 26 28
23 48 37
12 7 43
19 4 43
3 26 44
1 10 46
13 8 5
19 25 8
3 59 53
18 0 56
6 5 21
18 30 25
8 40 2
17 48 8
8 23 22
20 46 23
21 12 31
20 35 36
5 13 44
10 40 12
8 45 55
19 54 3
10 59 6
13 40 31
3 43 11
4 0 35
15 21 7
6 57 23
13 47 20
17 19 57
19 15 59
12 4 53
6 8 42
8 21 28
21 53 21
7 44 0
8 16 25
20 28 7
17 17 22
10 51 54
9 25 42
15 51 44
22 16 38
4 37 2
20 34 34
12 44 45
18 29 29
23 21 48
21 31 56
