10000 7200
19 54 21
23 19 41
12 0 0
8 23 10
6 22 8
21 34 10
10 16 47
16 38 18
13 25 51
7 51 43
13 44 58
15 53 4
20 51 14
10 56 10
19 21 7
0 5 5
8 5 20
7 44 47
7 26 2
1 14 51
15 42 43
23 5 35
10 5 7
7 29 45
17 2 20
20 24 3
9 50 19
6 57 25
12 25 0
8 44 40
19 42 18
17 33 18
17 30 29
19 24 56
5 21 25
23 17 15
0 55 30
13 27 20
12 26 46
7 57 17
7 35 31
8 11 53
21 43 37
7 18 28
6 20 53
2 31 44
14 11 40
23 21 52
22 15 22
6 19 32
9 1 0
4 45 46
3 7 18
3 23 41
16 58 24
11 30 30
11 52 26
14 14 39
4 51 34
4 39 41
10 3 46
13 1 50
22 25 5
3 9 35
16 38 45
8 58 41
7 31 37
20 12 41
11 4 30
4 22 35
3 24 26
22 50 2
12 1 17
5 38 38
22 4 51
16 38 48
5 32 15
1 4 49
5 32 54
22 42 54
9 48 21
13 25 56
7 4 25
20 20 18
19 46 35
9 40 44
17 21 45
1 4 26
2 43 38
17 55 37
18 50 16
6 7 26
10 22 36
17 3 18
13 28 36
22 3 13
9 37 24
21 45 15
14 48 54
15 42 14
13 35 56
22 50 38
6 35 40
15 5 27
1 8 21
12 27 38
1 7 25
14 58 0
21 32 45
1 12 13
4 55 57
17 47 24
23 30 11
23 0 29
15 50 20
19 6 55
3 25 52
5 20 25
6 40 8
6 14 9
15 10 47
10 37 36
21 48 34
10 9 46
9 52 17
7 12 44
19 17 14
8 36 1
16 35 54
21 43 14
23 5 1
18 33 38
12 16 8
18 57 16
7 40 19
18 33 38
3 0 55
23 52 45
3 11 47
20 36 16
16 20 23
23 33 8
10 48 19
3 19 56
22 33 1
14 42 57
11 41 36
10 15 33
23 11 15
22 22 39
2 50 26
23 39 50
22 27 16
6 47 46
9 29 55
3 29 2
8 19 47
23 56 4
3 3 17
2 52 21
7 0 46
22 10 33
12 51 48
1 2 50
12 38 7
9 28 34
7 41 52
5 57 10
9 46 38
13 42 41
12 23 30
22 44 44
10 42 49
21 32 35
12 8 51
11 25 11
22 54 9
4 46 56
13 31 9
9 1 0
12 4 55
14 58 15
7 47 39
8 2 18
13 10 22
4 11 54
18 34 8
0 40 22
13 18 1
18 58 17
4 12 57
4 21 52
1 22 53
8 37 48
7 51 49
2 54 23
10 12 41
15 56 55
6 55 26
14 12 12
9 24 28
21 42 28
9 22 27
18 22 45
11 36 53
11 16 52
0 18 46
20 40 12
8 26 40
18 10 10
17 22 22
17 32 52
17 31 0
13 16 56
23 43 0
7 54 43
21 59 5
17 50 38
2 16 16
22 23 38
11 20 32
22 9 13
10 3 21
7 11 31
0 40 36
19 42 11
3 7 6
10 49 30
23 49 1
1 22 21
19 29 59
8 36 20
18 16 40
12 44 24
6 19 19
15 51 6
8 43 17
15 45 3
10 5 43
4 39 8
17 18 16
9 30 47
1 45 15
12 21 26
14 16 13
5 22 45
16 13 34
2 5 3
1 37 33
6 8 7
23 25 3
6 57 42
21 27 42
19 22 24
2 8 1
4 45 58
1 26 47
21 58 13
7 13 27
2 2 43
3 53 23
16 56 14
14 1 26
8 18 18
6 49 1
20 47 37
23 38 56
6 52 3
13 38 0
2 15 21
18 22 9
5 45 50
2 55 32
23 30 43
6 0 39
22 9 4
15 37 38
18 25 42
23 25 1
0 44 33
0 21 2
12 36 7
17 12 57
15 49 37
11 51 28
16 5 2
13 19 21
21 54 12
18 36 13
6 55 16
2 28 39
4 12 50
10 16 52
18 55 4
23 15 30
21 55 12
6 3 25
22 56 21
23 35 45
14 44 53
12 32 55
23 48 7
22 38 21
19 15 57
15 40 1
15 5 15
14 55 42
10 15 30
6 33 4
9 16 47
9 50 20
1 15 41
9 42 10
15 54 4
18 11 26
3 0 43
1 26 53
5 19 44
5 56 56
14 56 36
1 9 59
7 28 33
4 54 55
19 12 4
1 1 31
5 18 33
0 48 36
23 4 45
5 53 55
4 59 10
0 52 0
19 19 44
22 50 58
13 2 48
20 6 32
5 30 34
11 27 1
18 8 35
12 30 50
8 20 40
18 7 27
19 0 51
4 18 56
20 46 30
15 31 13
2 46 46
12 22 50
23 10 40
14 47 47
18 43 21
17 23 31
20 7 2
13 45 50
4 24 46
7 10 53
17 53 10
6 47 29
0 29 25
1 28 56
0 33 58
19 38 28
15 3 1
2 58 22
11 40 35
0 27 45
20 16 39
20 57 0
8 44 51
0 55 50
2 23 18
12 33 23
0 44 47
17 30 4
8 2 34
8 55 53
20 50 51
10 58 18
6 59 32
3 18 11
1 40 34
8 53 27
8 1 5
6 4 17
12 46 25
2 46 32
0 52 59
21 1 47
11 12 38
6 33 21
7 8 31
10 5 30
7 26 12
18 34 43
10 29 14
9 10 12
17 43 50
22 26 23
18 39 0
14 37 31
10 15 24
18 6 8
2 47 30
13 18 2
17 0 14
6 26 1
12 35 26
11 6 22
12 24 31
16 3 27
7 5 56
0 27 24
6 38 47
14 4 1
14 42 41
13 35 40
13 15 28
8 52 58
4 8 54
9 31 52
22 49 8
12 30 57
16 9 12
18 52 32
7 33 23
18 21 17
10 48 51
15 28 36
11 35 53
17 14 2
5 59 19
7 34 17
5 6 14
23 39 32
11 12 57
17 17 24
12 3 4
15 1 26
2 12 39
11 4 39
14 35 50
13 49 34
16 47 18
5 22 33
18 51 6
4 53 47
18 48 37
9 28 32
22 9 0
11 45 46
0 57 27
11 45 33
4 0 57
21 49 3
18 11 0
2 19 32
18 33 59
0 28 55
14 44 37
2 44 3
3 2 7
6 9 1
9 27 32
4 13 9
22 20 34
10 22 42
12 25 19
1 33 8
23 32 14
12 42 29
13 29 18
2 19 49
15 57 47
0 39 56
14 24 22
16 52 58
16 35 28
21 48 5
3 11 29
22 19 6
22 54 19
8 34 50
2 0 51
15 7 34
10 54 18
19 21 34
12 40 17
22 39 12
1 51 22
2 22 16
12 22 22
4 38 8
6 5 28
4 11 19
23 7 16
9 14 32
9 4 26
7 46 27
6 36 29
10 44 38
20 30 6
2 52 27
10 27 35
9 21 9
16 55 44
12 31 39
11 14 42
4 38 35
13 4 36
15 50 0
9 9 27
13 39 42
16 16 3
22 47 13
22 9 23
22 24 15
20 54 29
22 54 49
9 30 35
16 43 55
17 1 6
6 39 11
22 37 9
7 49 9
5 19 12
9 14 11
8 26 3
21 32 24
13 29 1
7 44 10
6 5 48
13 35 28
13 28 39
21 59 40
4 47 48
5 20 53
19 58 26
17 27 29
5 5 12
3 19 26
12 33 33
8 50 31
11 53 3
4 3 16
13 15 35
12 47 38
11 41 44
21 4 7
19 35 42
22 44 30
2 40 25
1 13 40
18 43 1
6 57 18
10 58 20
10 26 20
9 11 20
17 47 51
3 40 24
14 34 43
7 37 18
23 16 5
10 28 8
11 27 58
8 33 57
6 37 29
19 21 4
14 27 45
21 0 35
14 50 49
12 45 8
14 35 27
19 33 31
7 39 3
0 29 58
23 55 35
8 44 29
9 51 49
11 14 2
7 38 53
8 1 1
7 35 31
20 46 23
12 44 11
1 24 3
5 42 34
17 17 28
5 2 2
2 18 55
19 16 15
6 10 17
12 33 10
22 26 39
10 47 18
23 31 13
7 0 5
15 3 27
0 15 42
13 46 44
4 25 12
14 17 31
22 12 48
16 18 7
8 21 31
10 34 21
9 27 25
17 0 34
15 58 11
6 11 42
20 3 27
18 56 0
20 2 37
22 21 24
11 47 54
13 34 18
1 16 3
10 49 39
9 7 47
5 37 21
1 3 56
7 14 58
18 47 6
10 36 33
20 9 56
5 2 2
4 39 22
17 45 32
19 7 10
10 29 36
4 0 43
15 50 52
4 50 17
13 31 54
20 41 24
5 12 32
18 10 12
4 17 10
6 32 49
19 24 32
8 51 6
3 21 50
11 18 42
3 47 46
5 56 23
15 52 48
16 56 20
12 6 40
15 5 12
12 42 32
15 57 50
13 55 47
3 55 58
1 41 42
20 38 33
0 45 16
3 41 48
23 42 18
22 44 0
11 12 17
21 41 45
17 41 7
18 51 52
2 39 13
1 7 7
11 51 14
10 44 25
20 50 39
4 8 26
2 48 38
7 31 23
13 17 58
19 0 48
17 16 16
17 11 27
17 37 18
21 54 53
9 44 2
18 16 27
15 37 18
16 13 35
4 42 41
6 6 15
6 31 51
21 49 42
17 13 10
13 17 18
23 24 55
1 48 56
17 38 23
1 9 8
17 16 25
17 44 40
13 14 44
11 9 11
17 41 44
11 4 4
23 30 2
14 39 56
17 25 15
13 3 7
15 12 35
13 53 29
14 46 45
19 36 41
10 23 8
4 45 57
14 31 31
6 43 32
15 52 57
17 26 7
10 39 1
15 33 31
10 51 39
16 18 25
17 28 31
3 34 47
17 35 45
8 37 14
19 42 31
1 3 37
23 50 14
14 13 9
3 3 54
11 21 57
13 9 11
9 27 43
22 17 57
8 14 56
10 40 44
8 5 54
15 48 54
8 22 26
23 56 35
5 14 56
15 41 47
20 51 49
2 26 13
4 38 10
22 54 33
22 55 22
3 32 50
9 47 35
21 49 50
21 56 41
11 11 3
6 41 51
3 43 51
21 50 58
9 39 33
16 58 11
22 35 41
23 52 55
4 35 19
3 18 31
8 42 26
9 37 24
5 20 40
17 36 58
5 49 58
15 59 9
19 29 35
0 43 55
12 22 18
3 49 27
13 11 16
7 16 44
2 3 15
13 56 55
6 55 59
15 40 59
1 37 21
15 26 46
2 16 30
21 35 49
7 32 22
7 29 13
13 37 7
18 45 51
14 19 32
16 41 21
19 41 46
12 5 50
21 18 42
14 33 9
21 17 4
22 30 16
22 40 40
8 53 24
18 8 51
16 42 21
11 42 33
4 59 50
0 33 47
7 8 31
19 34 51
12 23 28
10 24 35
2 20 57
7 43 47
15 13 22
22 57 36
7 46 24
16 27 17
0 30 27
22 5 45
3 31 18
14 56 49
16 31 55
9 24 37
18 56 27
10 48 4
13 55 29
20 44 12
1 46 50
10 13 44
10 5 58
21 47 30
10 53 10
16 17 0
7 35 47
10 49 59
15 17 10
1 18 43
5 24 39
16 44 52
2 1 52
3 48 31
6 10 14
12 41 53
12 13 23
11 19 23
18 4 10
15 33 19
6 10 55
20 42 5
8 18 29
23 5 32
12 40 29
12 6 59
9 59 37
11 51 55
7 24 22
20 8 58
10 42 7
17 52 4
17 48 22
3 54 9
20 47 52
2 46 48
2 33 9
11 31 8
15 48 7
18 42 53
5 40 44
23 59 36
19 54 19
8 27 40
14 45 9
14 10 35
1 3 52
18 35 16
4 40 35
11 44 3
8 53 48
9 22 48
13 38 17
23 55 46
0 28 13
6 34 14
16 30 59
20 14 55
19 28 20
3 16 11
22 39 18
5 38 25
23 15 2
19 2 12
21 17 33
8 59 33
6 35 59
14 53 28
12 11 10
9 57 16
21 7 58
21 32 29
16 38 3
11 37 4
0 33 16
2 4 27
1 12 22
14 36 10
12 42 32
16 32 2
21 40 34
22 18 25
17 16 31
2 27 5
19 24 48
7 52 1
7 12 59
13 54 31
2 6 4
3 27 8
7 29 50
10 55 35
23 17 1
19 27 0
8 52 30
8 36 1
14 46 34
18 25 44
10 24 30
17 20 22
6 54 57
3 58 26
4 13 49
7 13 57
7 19 20
13 52 46
18 52 15
11 44 27
3 9 45
0 10 2
23 53 34
10 23 8
19 8 17
23 51 0
9 31 30
22 5 28
23 12 56
20 36 50
7 29 17
12 38 12
16 43 6
1 1 19
4 41 33
4 59 22
6 26 19
2 56 57
8 50 44
5 41 46
21 56 25
23 49 43
0 27 54
15 25 28
22 0 58
14 10 43
23 32 39
14 14 50
17 15 59
3 9 23
19 22 12
6 21 13
6 33 57
23 15 26
18 22 11
17 59 16
7 45 58
16 19 10
10 51 36
1 6 0
4 44 42
4 4 28
7 56 54
16 42 46
19 9 58
0 3 10
4 21 32
4 23 31
6 16 41
10 51 32
19 23 19
16 7 36
13 0 49
9 30 12
7 22 1
16 46 53
5 2 28
18 9 5
21 29 32
8 28 56
8 15 45
14 54 10
12 36 49
21 23 0
1 32 16
8 3 4
